timestamp,ros_time,datetime,latitude,longitude,altitude,status,service
1757417282.82061,1757417282.8202522,2025-09-09 11:28:02.820610,29.743804451333332,106.54993026483334,241.744,2,1
1757417282.9210088,1757417282.9207234,2025-09-09 11:28:02.921009,29.743807469333333,106.5499264515,241.741,2,1
1757417283.021345,1757417283.02108,2025-09-09 11:28:03.021345,29.743810454166667,106.54992263566666,241.73499999999999,2,1
1757417283.121867,1757417283.1215403,2025-09-09 11:28:03.121867,29.743813507833334,106.54991866616666,241.737,2,1
1757417283.2223642,1757417283.2221057,2025-09-09 11:28:03.222364,29.743816535,106.54991469733334,241.73999999999998,2,1
1757417283.3232257,1757417283.3227763,2025-09-09 11:28:03.323226,29.743819474,106.54991086366667,241.751,2,1
1757417283.4234722,1757417283.4231822,2025-09-09 11:28:03.423472,29.743822385833333,106.54990702866667,241.763,2,1
1757417283.5240717,1757417283.523847,2025-09-09 11:28:03.524072,29.743825281166668,106.549903136,241.768,2,1
1757417283.6254551,1757417283.6252441,2025-09-09 11:28:03.625455,29.743828154666666,106.54989925033334,241.771,2,1
1757417283.716267,1757417283.7158844,2025-09-09 11:28:03.716267,29.743830988166668,106.5498953975,241.76500000000001,2,1
1757417283.817838,1757417283.817429,2025-09-09 11:28:03.817838,29.7438338085,106.549891552,241.761,2,1
1757417283.9184957,1757417283.9180844,2025-09-09 11:28:03.918496,29.7438366345,106.54988770716666,241.763,2,1
1757417284.0187743,1757417284.018539,2025-09-09 11:28:04.018774,29.743839435333335,106.54988386783333,241.76399999999998,2,1
1757417284.1194735,1757417284.1192236,2025-09-09 11:28:04.119473,29.7438421875,106.54988000966667,241.766,2,1
1757417284.2200303,1757417284.2198021,2025-09-09 11:28:04.220030,29.743844914,106.54987615033333,241.76699999999997,2,1
1757417284.32074,1757417284.3205495,2025-09-09 11:28:04.320740,29.743847717166666,106.549872342,241.763,2,1
1757417284.421257,1757417284.421014,2025-09-09 11:28:04.421257,29.743850497833332,106.549868538,241.758,2,1
1757417284.5219746,1757417284.521726,2025-09-09 11:28:04.521975,29.743853204166665,106.54986473483333,241.759,2,1
1757417284.6224413,1757417284.6222217,2025-09-09 11:28:04.622441,29.743855892333332,106.549860928,241.761,2,1
1757417284.723049,1757417284.7226605,2025-09-09 11:28:04.723049,29.743858519833335,106.54985696716666,241.76000000000002,2,1
1757417284.823543,1757417284.8232265,2025-09-09 11:28:04.823543,29.743861117833333,106.54985299866667,241.758,2,1
1757417284.9241061,1757417284.92388,2025-09-09 11:28:04.924106,29.743863688166666,106.54984917766667,241.756,2,1
1757417285.0253575,1757417285.0250797,2025-09-09 11:28:05.025357,29.743866238666666,106.54984535383333,241.75499999999997,2,1
1757417285.116154,1757417285.1157887,2025-09-09 11:28:05.116154,29.743868726333332,106.549841481,241.76899999999998,2,1
1757417285.217705,1757417285.2172894,2025-09-09 11:28:05.217705,29.743871198166666,106.5498375895,241.77899999999997,2,1
1757417285.3182902,1757417285.3177412,2025-09-09 11:28:05.318290,29.743873774833332,106.5498336585,241.76899999999998,2,1
1757417285.4186919,1757417285.4183002,2025-09-09 11:28:05.418692,29.74387634016667,106.54982971333334,241.76199999999997,2,1
1757417285.5194013,1757417285.5190392,2025-09-09 11:28:05.519401,29.743878767166667,106.54982577983333,241.773,2,1
1757417285.6199627,1757417285.619578,2025-09-09 11:28:05.619963,29.743881164166666,106.54982180916667,241.78399999999996,2,1
1757417285.72037,1757417285.7200823,2025-09-09 11:28:05.720370,29.743883615666668,106.54981779416667,241.77899999999997,2,1
1757417285.8208814,1757417285.820596,2025-09-09 11:28:05.820881,29.743886043333333,106.549813757,241.77,2,1
1757417285.9214528,1757417285.9211192,2025-09-09 11:28:05.921453,29.743888475,106.5498096685,241.761,2,1
1757417286.021994,1757417286.0216658,2025-09-09 11:28:06.021994,29.743890894833335,106.54980553983333,241.756,2,1
